NOME_PRODUTO,URL,CATEGORIA,PORCAO,CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Jasmine Soytoast Salgadinho de Soja Cebola e Salsa,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/soytoast-salgadinho-de-soja-cebola-e-salsa/1-pacotinho,Produto Jasmine Alimentos,40,188,6.0,14.0,12.0,4.0,6.0,0.0,580
Jasmine Sou Sweet Frutas Vermelhas (25g),https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/sou-sweet-frutas-vermelhas-(25g)/1-pacote-(3-biscoitos),Produto Jasmine Alimentos,25,87,11.0,1.7,4.0,1.0,2.5,0.0,46
Jasmine Leite de Aveia,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/leite-de-aveia/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,200,89,15.0,1.0,2.8,0.6,1.4,11.0,80
Jasmine Pão de Hambúrguer Tradicional,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-de-hamb%C3%BArguer-tradicional/1-unidade,Produto Jasmine Alimentos,75,153,30.0,0.0,3.8,1.6,0.5,0.0,280
Jasmine Chia em Grãos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/chia-em-gr%C3%A3os/1-1-2-colheres-de-sopa,Produto Jasmine Alimentos,15,79,6.0,2.9,4.8,0.4,5.3,0.0,0
Jasmine Biscoito de Arroz Multigrãos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/biscoito-de-arroz-multigr%C3%A3os/6-unidades,Produto Jasmine Alimentos,30,102,21.0,2.1,1.1,0.0,1.5,0.0,47
Jasmine Pão Hambúrguer Australiano,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-hamb%C3%BArguer-australiano/1-unidade,Produto Jasmine Alimentos,75,138,27.0,1.4,2.6,1.5,7.5,0.0,235
Jasmine Cookies Integrais Café,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-caf%C3%A9/5-unidades,Produto Jasmine Alimentos,30,120,21.0,2.3,3.0,0.9,2.0,0.0,38
Jasmine Biscoito de Arroz Original,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/biscoito-de-arroz-original/4-biscoitos,Produto Jasmine Alimentos,30,101,21.0,2.0,1.0,0.2,1.5,0.0,40
Jasmine Gergelim Branco Descascado,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/gergelim-branco-descascado/1-colher-de-sopa,Produto Jasmine Alimentos,15,95,2.3,3.0,8.2,1.1,0.0,0.0,0
Jasmine Quinoa Real em Grãos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/quinoa-real-em-gr%C3%A3os/1-4-x%C3%ADcara,Produto Jasmine Alimentos,45,171,31.0,6.0,2.6,0.4,2.7,0.0,10
Jasmine Tahine,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/tahine/1-colher-de-sopa,Produto Jasmine Alimentos,15,89,1.8,2.5,8.0,1.1,1.8,0.0,20
Jasmine Cookies Integral Avelã com Gotas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integral-avel%C3%A3-com-gotas/6-unidades,Produto Jasmine Alimentos,30,115,17.0,2.4,4.2,0.8,2.5,0.0,43
Jasmine Sou Sweet Frutas Vermelhas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/sou-sweet-frutas-vermelhas/1-pacote-(3-biscoitos),Produto Jasmine Alimentos,25,87,11.0,1.7,4.0,1.4,0.0,0.0,0
Jasmine Cookies Integrais Cacau,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-cacau/5-unidades,Produto Jasmine Alimentos,30,123,21.0,2.5,3.2,1.0,2.1,0.0,39
Jasmine Granola Integral Maçã e Canela,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-integral-ma%C3%A7%C3%A3-e-canela/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Jasmine Alimentos,40,152,22.0,4.3,5.1,1.0,3.4,0.0,0
Jasmine Cookies Integral Castanha do Pará,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integral-castanha-do-par%C3%A1/6-unidades,Produto Jasmine Alimentos,30,115,17.0,2.3,4.2,1.2,1.8,0.0,64
Jasmine Granola Especial Cranberries e Açaí,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-especial-cranberries-e-a%C3%A7a%C3%AD/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Jasmine Alimentos,40,154,28.0,4.3,2.7,0.4,3.0,8.8,3
Jasmine Farinha de Chia Estabilizada,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/farinha-de-chia-estabilizada/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,15,79,6.0,2.9,4.8,0.4,5.3,0.0,0
Jasmine Gran Cookies Castanha do Pará,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/gran-cookies-castanha-do-par%C3%A1/3-unidades,Produto Jasmine Alimentos,30,103,12.0,2.0,5.9,1.3,2.5,0.0,50
Jasmine Sou Sweet Maracujá e Chia,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/sou-sweet-maracuj%C3%A1-e-chia/1-pacote,Produto Jasmine Alimentos,25,87,11.0,1.8,4.0,1.1,2.5,0.0,48
Jasmine Pão de Mel Integral Tradicional,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-de-mel-integral-tradicional/2-1-2-unidades,Produto Jasmine Alimentos,30,117,19.0,1.6,3.8,2.2,1.9,0.0,5
Jasmine Granola Integral Banana e Canela com Castanha do Pará,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-integral-banana-e-canela-com-castanha-do-par%C3%A1/1-2-xicara-de-cha,Produto Jasmine Alimentos,40,148,21.0,4.4,5.1,1.2,3.6,3.2,11
Jasmine Farinha de Linhaça Marrom,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/farinha-de-linha%C3%A7a-marrom/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,15,74,4.3,2.9,5.0,0.4,4.2,0.0,0
Jasmine Cookies Integral Limão,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integral-lim%C3%A3o/6-unidades,Produto Jasmine Alimentos,30,111,17.0,2.2,4.8,1.3,2.5,0.0,58
Jasmine Mix para Vegetal Burguer,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/mix-para-vegetal-burguer/1-pacote,Produto Jasmine Alimentos,80,266,26.0,27.0,6.0,0.8,11.0,0.0,315
Jasmine Farinha de Soja Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/farinha-de-soja-integral/1-2-x%C3%ADcara,Produto Jasmine Alimentos,50,201,7.7,20.0,10.0,1.2,6.7,0.0,10
Jasmine Farinha de Trigo Integral Fina,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/farinha-de-trigo-integral-fina/1-2-x%C3%ADcara,Produto Jasmine Alimentos,50,156,30.0,6.9,0.9,0.2,6.1,0.0,0
Jasmine Pão Multigrãos sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-multigr%C3%A3os-sem-gl%C3%BAten/2-fatias,Produto Jasmine Alimentos,50,100,17.0,1.9,2.9,0.8,1.5,0.6,152
Jasmine Gergelim Branco Natural,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/gergelim-branco-natural/1-colher-de-sopa,Produto Jasmine Alimentos,15,91,3.5,2.7,7.4,1.0,1.8,0.0,0
Jasmine Proteína Texturizada de Soja,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/prote%C3%ADna-texturizada-de-soja/1-x%C3%ADcara,Produto Jasmine Alimentos,50,144,10.0,26.0,0.0,0.0,7.0,0.0,8
Jasmine Mix de Soja Ervas Finas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/mix-de-soja-ervas-finas/100g,Produto Jasmine Alimentos,100,188,6.0,14.0,12.0,4.0,6.4,0.0,580
Jasmine Cookies Papaia com Cassis,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-papaia-com-cassis/8-unidades,Produto Jasmine Alimentos,30,118,21.0,2.1,2.9,0.6,2.5,0.0,40
Jasmine Semente de Abóbora Tostada,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/semente-de-ab%C3%B3bora-tostada/1-pacote,Produto Jasmine Alimentos,40,251,6.0,12.0,20.0,3.8,2.6,0.0,3
Jasmine Germe de Trigo Tostado,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/germe-de-trigo-tostado/1-colher-de-sopa,Produto Jasmine Alimentos,10,34,3.9,2.3,1.0,0.0,1.3,0.0,1
Jasmine Bolo de Laranja sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/bolo-de-laranja-sem-gl%C3%BAten/1-fatia,Produto Jasmine Alimentos,60,209,33.0,1.9,8.0,3.6,0.0,0.0,164
Jasmine Cookies Integrais Zero Açúcar Manjar de Coco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-zero-a%C3%A7%C3%BAcar-manjar-de-coco/6-unidades,Produto Jasmine Alimentos,30,91,14.0,2.0,3.8,0.9,0.0,0.0,4
Jasmine Biscoito Integral Alho e Orégano,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/biscoito-integral-alho-e-or%C3%A9gano/17-unidades,Produto Jasmine Alimentos,25,98,16.0,2.5,2.7,0.6,1.5,0.0,153
Jasmine Ativo Fibras,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/ativo-fibras/2-colheres-de-sopa,Produto Jasmine Alimentos,20,75,8.2,4.0,3.0,0.6,4.0,0.0,4
Jasmine Banana Crocante,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/banana-crocante/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,20,76,18.0,0.9,0.0,0.0,0.0,0.0,0
Jasmine Mix de Soja Cebola e Salsa,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/mix-de-soja-cebola-e-salsa/1-pacote,Produto Jasmine Alimentos,40,188,6.0,14.0,12.0,4.0,6.4,0.0,580
Jasmine Mix Sementes e Nuts,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/mix-sementes-e-nuts/1-pacote,Produto Jasmine Alimentos,40,189,15.0,9.7,10.0,1.7,3.1,0.0,10
Jasmine Pão com Batata Doce sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-com-batata-doce-sem-gl%C3%BAten/2-fatias,Produto Jasmine Alimentos,50,119,23.0,1.3,2.4,1.0,2.3,0.0,125
Jasmine Biscoito Integral Gergelim e Linhaça,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/biscoito-integral-gergelim-e-linha%C3%A7a/17-unidades,Produto Jasmine Alimentos,40,165,24.0,4.8,5.6,1.1,2.5,0.0,232
Jasmine Granola Especial Castanha do Pará,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-especial-castanha-do-par%C3%A1/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Jasmine Alimentos,40,170,26.0,4.9,5.1,1.0,3.0,0.0,5
"Jasmine Super Bar - Castanha do Pará, Uva Passa e Coco",https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/super-bar-castanha-do-par%C3%A1-uva-passa-e-coco/1-barra,Produto Jasmine Alimentos,22,78,10.0,2.0,3.3,1.2,2.5,0.0,15
Jasmine Linhaça Integral,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/linha%C3%A7a-integral/1-colher-de-sopa,Produto Jasmine Alimentos,15,75,4.3,2.9,5.1,0.5,4.2,0.0,0
Jasmine Mix Sementes,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/mix-sementes/1-pacote,Produto Jasmine Alimentos,40,209,14.0,9.1,13.0,1.5,3.5,0.0,40
Jasmine Cookies Integral Frutas Cítricas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integral-frutas-c%C3%ADtricas/6-unidades,Produto Jasmine Alimentos,30,123,21.0,2.5,3.2,0.7,2.5,0.0,40
Jasmine Granola Premium Cacau Low Carb,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-premium-cacau-low-carb/100g,Produto Jasmine Alimentos,100,383,22.0,22.0,23.0,4.8,13.0,0.0,255
Jasmine Pão de Milho sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-de-milho-sem-gl%C3%BAten/2-fatias,Produto Jasmine Alimentos,50,93,18.0,1.3,1.8,1.0,2.5,0.6,104
Jasmine Rosquinhas Laranja e Cenoura Zero Açúcar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/rosquinhas-laranja-e-cenoura-zero-a%C3%A7%C3%BAcar/6-unidades,Produto Jasmine Alimentos,30,95,14.0,2.2,3.4,0.7,2.5,0.0,64
Jasmine Pão de Hambúrguer sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-de-hamb%C3%BArguer-sem-gl%C3%BAten/1-unidade,Produto Jasmine Alimentos,75,150,29.0,0.0,3.8,1.3,6.4,1.0,272
Jasmine Rosquinhas Integrais Light Castanha do Pará,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/rosquinhas-integrais-light-castanha-do-par%C3%A1/9-unidades,Produto Jasmine Alimentos,30,122,20.0,2.2,3.7,0.9,2.5,3.7,54
Jasmine Mix Sementes + Frutas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/mix-sementes-frutas/1-pacote,Produto Jasmine Alimentos,40,151,16.0,7.5,6.3,0.8,2.9,0.0,0
Jasmine Suco de Tangerina,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/suco-de-tangerina/1-copo,Produto Jasmine Alimentos,200,84,21.0,0.0,0.0,0.0,0.0,0.0,5
Jasmine Mix Sementes + Nuts,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/mix-sementes-nuts/1-pacote,Produto Jasmine Alimentos,40,189,15.0,9.7,10.0,1.7,3.1,0.0,0
Jasmine Granola Frutas Tropicais Zero Açúcar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-frutas-tropicais-zero-a%C3%A7%C3%BAcar/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,40,158,23.0,5.0,5.0,1.0,5.0,0.0,12
Jasmine Salgadinho de Soja,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/salgadinho-de-soja/1-2-colher-de-sopa,Produto Jasmine Alimentos,10,48,1.5,3.5,3.1,1.0,1.0,0.0,145
Jasmine Granola,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola/1-2-xicara-de-ch%C3%A1,Produto Jasmine Alimentos,40,148,23.0,4.1,4.6,1.3,3.6,0.0,15
Jasmine Granola,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola/100g,Produto Jasmine Alimentos,100,383,22.0,22.0,23.0,0.0,0.0,0.0,0
Jasmine Pão com Milho sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-com-milho-sem-gl%C3%BAten/2-fatias,Produto Jasmine Alimentos,50,185,33.0,3.1,4.5,1.7,3.6,0.0,165
Jasmine Cranberries,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cranberries/3-1-2-colheres-de-sopa,Produto Jasmine Alimentos,50,170,41.0,0.0,0.7,0.0,2.9,0.0,0
Jasmine Arroz Cateto,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/arroz-cateto/1-4-x%C3%ADcara,Produto Jasmine Alimentos,50,172,36.0,4.0,1.3,0.3,1.7,0.0,0
Jasmine Sou Sweet Chocolate e Gotas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/sou-sweet-chocolate-e-gotas/1-pacote-(3-biscoitos),Produto Jasmine Alimentos,25,102,15.0,2.0,3.8,1.0,2.5,0.0,52
Jasmine Maça Desidratada,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/ma%C3%A7a-desidratada/1-pacote,Produto Jasmine Alimentos,40,82,20.0,0.6,0.0,0.0,5.0,0.0,15
Jasmine Biscoito de Arroz Ervas Finas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/biscoito-de-arroz-ervas-finas/4-biscoitos,Produto Jasmine Alimentos,30,110,25.0,2.6,0.0,0.0,0.6,0.0,96
Jasmine Germe & Fibra de Trigo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/germe-fibra-de-trigo/1-colher-de-sopa,Produto Jasmine Alimentos,10,26,3.0,1.9,0.6,0.0,2.8,0.0,0
Jasmine Wrap Chia e Linhaça,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/wrap-chia-e-linha%C3%A7a/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,40,92,19.0,1.8,1.1,0.0,2.0,0.0,79
Jasmine Maçã Crocante,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/ma%C3%A7%C3%A3-crocante/1-pacote,Produto Jasmine Alimentos,40,134,33.0,0.6,0.0,0.0,5.0,0.0,15
Jasmine Bites Azeite e Ervas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/bites-azeite-e-ervas/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,25,102,16.0,1.5,3.5,0.0,0.6,1.4,148
Jasmine Biscoito com Cereais Sabor Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/biscoito-com-cereais-sabor-chocolate/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,25,87,11.0,1.8,4.3,1.4,2.5,0.1,47
Jasmine Aveia Flocos Grossos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/aveia-flocos-grossos/1-colher-de-sopa,Produto Jasmine Alimentos,15,54,8.5,2.25,1.2,0.3,1.6,0.0,0
Jasmine Farinha de Linhaça Dourada Estabilizada,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/farinha-de-linha%C3%A7a-dourada-estabilizada/1-colher-de-sopa-cheia,Produto Jasmine Alimentos,15,77,4.5,3.0,5.2,0.4,3.9,0.0,5
Jasmine Cookies Integrais Zero Açúcar Cappuccino e Avelã,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-zero-a%C3%A7%C3%BAcar-cappuccino-e-avel%C3%A3/6-unidades,Produto Jasmine Alimentos,30,103,14.0,2.4,4.2,1.0,2.6,0.0,62
Jasmine Farelo de Trigo,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/farelo-de-trigo/100g,Produto Jasmine Alimentos,100,150,22.0,16.0,0.0,0.0,4.0,0.0,0
Jasmine Ativo de Fibras,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/ativo-de-fibras/2-colheres-de-sopa,Produto Jasmine Alimentos,20,75,8.2,4.0,3.0,0.6,4.0,0.0,4
Jasmine Banana Crocante Liofilizada,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/banana-crocante-liofilizada/1-pacote,Produto Jasmine Alimentos,30,113,27.0,1.3,0.0,0.0,0.0,0.0,0
Jasmine Pão Multigrãos Suply sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-multigr%C3%A3os-suply-sem-gl%C3%BAten/2-fatias,Produto Jasmine Alimentos,50,139,22.0,2.6,4.5,1.3,1.3,0.0,183
Jasmine Calda de Agave,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/calda-de-agave/2-colheres-de-sopa,Produto Jasmine Alimentos,20,60,15.0,0.0,0.0,0.0,0.0,15.0,0
Jasmine Cookies Integrais Frutas Silvestres,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-frutas-silvestres/6-unidades,Produto Jasmine Alimentos,30,110,16.0,2.1,4.2,0.9,0.9,4.5,45
Jasmine Cookies Integrais Laranja e Mel sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-laranja-e-mel-sem-gl%C3%BAten/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,30,122,17.0,2.2,5.0,1.8,0.9,0.0,38
Jasmine Linhaça Marrom,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/linha%C3%A7a-marrom/1-colher-de-sopa,Produto Jasmine Alimentos,15,74,4.3,2.9,5.0,0.4,4.2,0.0,0
Jasmine Cookies Integrais Diet,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-diet/8-unidades,Produto Jasmine Alimentos,30,118,19.0,2.0,4.5,1.4,1.2,0.0,77
Jasmine Rosquinhas de Coco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/rosquinhas-de-coco/6-unidades,Produto Jasmine Alimentos,30,95,14.0,2.3,3.3,0.9,2.4,0.0,70
Jasmine Granola Diet,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-diet/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,40,166,27.0,9.4,2.3,0.4,5.1,3.6,17
Jasmine Wrap Tradicional sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/wrap-tradicional-sem-gl%C3%BAten/1-unidade,Produto Jasmine Alimentos,40,92,19.0,1.7,1.0,0.0,1.3,0.0,73
Jasmine Cookies Integrais Light Aveia e Amêndoas + Sementes Nobres,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-light-aveia-e-am%C3%AAndoas-sementes-nobres/6-unidades,Produto Jasmine Alimentos,30,114,18.0,2.6,3.5,0.7,1.8,4.0,35
Jasmine Granola Especial Tradicional,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-especial-tradicional/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,40,148,23.0,4.1,4.6,1.3,3.6,4.0,7
Jasmine Rosquinhas de Coco Zero Açúcar,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/rosquinhas-de-coco-zero-a%C3%A7%C3%BAcar/6-biscoitos,Produto Jasmine Alimentos,30,95,14.0,2.3,3.3,0.9,2.4,0.0,70
Jasmine Granola Castanhas e Cacau,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-castanhas-e-cacau/2-x%C3%ADcaras-de-ch%C3%A1,Produto Jasmine Alimentos,40,169,25.0,5.5,5.1,1.1,4.0,5.5,3
Jasmine Granola Tradicional,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-tradicional/100g,Produto Jasmine Alimentos,100,363,56.0,10.0,11.0,3.2,9.0,9.0,17
Jasmine Cookies Integral Chocolate com Gotas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integral-chocolate-com-gotas/6-unidades,Produto Jasmine Alimentos,30,118,17.0,2.3,4.5,1.2,2.0,0.0,39
