NOME_PRODUTO,URL,CATEGORIA,PORCAO,CALORIAS (kcal),CARBOIDRATOS (g),PROTEINAS (g),GORDURAS_TOTAIS (g),GORDURAS_SATURADAS (g),FIBRAS (g),ACUCARES (g),SODIO (mg)
Jasmine Pipoca Zero,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/pipoca-zero/1-3-pacote,Produto Jasmine Alimentos,25,78,16.0,1.7,0.8,0.0,3.4,0.0,160
Jasmine Leite de Arroz,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/leite-de-arroz/100ml,Produto Jasmine Alimentos,100,54,10.0,0.0,1.5,0.2,0.5,0.0,40
Jasmine Pão Integral sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-integral-sem-gl%C3%BAten/1-fatia,Produto Jasmine Alimentos,25,67,11.0,1.25,2.0,0.65,0.6,0.0,94
Jasmine Granola Banana e Canela,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-banana-e-canela/100g,Produto Jasmine Alimentos,100,373,53.0,11.0,13.0,3.1,9.0,8.0,28
Jasmine Sou Sweet,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/sou-sweet/3-biscoitos,Produto Jasmine Alimentos,25,87,11.0,1.8,4.3,1.4,2.5,0.0,47
Jasmine Pão de Forma Multigrãos sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-de-forma-multigr%C3%A3os-sem-gl%C3%BAten/1-por%C3%A7%C3%A3o-(2-fatias),Produto Jasmine Alimentos,50,100,17.0,1.9,2.9,0.8,1.5,0.6,152
Jasmine Linhaça Dourada em Grãos,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/linha%C3%A7a-dourada-em-gr%C3%A3os/1-colher-de-sopa,Produto Jasmine Alimentos,15,77,4.5,3.0,5.2,0.4,3.9,0.0,5
Jasmine Granola Castanha-de-Caju,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-castanha-de-caju/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Jasmine Alimentos,40,155,22.0,4.7,5.4,1.6,3.7,5.0,22
Jasmine Cookies Integrais Damasco com Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-damasco-com-chocolate/6-unidades,Produto Jasmine Alimentos,30,103,14.0,2.3,4.2,0.9,2.5,0.2,61
Jasmine Goji Berry Desidratado,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/goji-berry-desidratado/1-colher-de-ch%C3%A1,Produto Jasmine Alimentos,8,5,1.2,0.0,0.0,0.0,0.0,0.0,0
Jasmine Biscoito de Milho,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/biscoito-de-milho/5-unidades,Produto Jasmine Alimentos,30,114,26.0,2.5,0.0,0.1,0.0,0.2,0
Jasmine Cookies Integrais Ameixa E Coco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-ameixa-e-coco/6-unidades,Produto Jasmine Alimentos,30,100,14.0,2.3,3.9,0.9,2.7,0.1,65
Jasmine Granola Zero Açúcar Amendoim e Alfarroba,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-zero-a%C3%A7%C3%BAcar-amendoim-e-alfarroba/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Jasmine Alimentos,40,166,19.0,5.6,7.5,1.9,5.3,0.0,9
Jasmine Cookies Integrais Light Cacau,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-light-cacau/10-unidades,Produto Jasmine Alimentos,35,143,22.0,2.6,4.9,1.4,2.1,5.2,106
Jasmine Biov Arroz,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/biov-arroz/1-copo,Produto Jasmine Alimentos,200,107,20.0,0.0,3.0,0.4,1.0,0.0,80
Jasmine Granola Chocolate e Coco,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-chocolate-e-coco/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,40,173,27.0,4.5,5.2,1.8,3.4,0.0,5
Jasmine Cookies Integrais Castanhas do Pará e Caju sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-castanhas-do-par%C3%A1-e-caju-sem-gl%C3%BAten/9-unidades,Produto Jasmine Alimentos,30,117,17.0,2.1,4.5,1.3,0.9,0.0,38
Jasmine Açúcar Fit,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/a%C3%A7%C3%BAcar-fit/1-colher-de-ch%C3%A1,Produto Jasmine Alimentos,5,19,4.7,0.0,0.0,0.0,0.0,0.0,0
Jasmine Granola Integral Castanha-de-Caju com Coquinho Crocante,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-integral-castanha-de-caju-com-coquinho-crocante/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,40,162,23.0,5.0,5.5,1.8,3.9,0.0,20
Jasmine Pão de Forma Tradicional,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/p%C3%A3o-de-forma-tradicional/100g,Produto Jasmine Alimentos,100,188,34.0,3.4,4.3,1.4,2.4,1.2,317
Jasmine Granola Tradicional com Coco e Uvas-Passas,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-tradicional-com-coco-e-uvas-passas/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Jasmine Alimentos,40,148,23.0,4.1,4.6,1.3,5.0,4.0,50
Jasmine Cookie Integral Cacau,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookie-integral-cacau/5-unidades,Produto Jasmine Alimentos,30,102,21.0,2.5,3.2,1.0,2.1,0.0,39
Jasmine Granola Integral Mel e Frutas com Castanha do para,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/granola-integral-mel-e-frutas-com-castanha-do-para/1-2-x%C3%ADcara-de-ch%C3%A1,Produto Jasmine Alimentos,40,150,22.0,4.3,5.1,0.8,3.2,0.0,0
Jasmine Aveia em Flocos Finos sem Glúten,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/aveia-em-flocos-finos-sem-gl%C3%BAten/2-colheres-de-sopa,Produto Jasmine Alimentos,30,105,17.0,4.2,2.2,0.3,2.8,0.5,0
Jasmine Cookies Integrais Zero Açúcar Damasco com Chocolate,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais-zero-a%C3%A7%C3%BAcar-damasco-com-chocolate/6-unidades,Produto Jasmine Alimentos,30,90,14.0,2.0,3.6,0.9,2.5,0.0,4
Jasmine Cookies Integrais,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/cookies-integrais/6-unidades,Produto Jasmine Alimentos,30,103,14.0,2.3,4.2,1.4,2.5,0.0,42
Jasmine Biscoito Integral Granola e Mel,https://www.fatsecret.com.br/calorias-nutri%C3%A7%C3%A3o/jasmine/biscoito-integral-granola-e-mel/1-por%C3%A7%C3%A3o,Produto Jasmine Alimentos,25,106,15.0,1.9,4.3,1.2,2.5,0.0,52
